Time,P CE ST1  Discharge pressure CA Seg.1 [psia]
6/2/2011 9:59:00 AM,52.70
6/3/2011 3:30:12 AM,52.08
6/3/2011 9:01:24 PM,52.20
6/4/2011 2:32:36 PM,52.25
6/5/2011 8:03:48 AM,52.24
6/6/2011 1:35:00 AM,52.08
6/6/2011 7:06:12 PM,52.06
6/7/2011 12:37:24 PM,52.14
6/8/2011 6:08:36 AM,51.98
6/8/2011 11:39:48 PM,52.09
6/9/2011 5:11:00 PM,52.33
6/10/2011 10:42:12 AM,52.07
6/11/2011 4:13:24 AM,52.21
6/11/2011 9:44:36 PM,52.13
6/12/2011 3:15:48 PM,52.29
6/13/2011 8:47:00 AM,52.30
6/14/2011 2:18:12 AM,52.07
6/14/2011 7:49:24 PM,51.98
6/15/2011 1:20:36 PM,52.36
6/16/2011 6:51:48 AM,52.93
6/17/2011 12:23:00 AM,51.94
6/17/2011 5:54:12 PM,51.80
6/18/2011 11:25:24 AM,51.86
6/19/2011 4:56:36 AM,51.74
6/19/2011 10:27:48 PM,51.68
6/20/2011 3:59:00 PM,51.73
6/21/2011 9:30:12 AM,51.73
6/22/2011 3:01:24 AM,51.94
6/22/2011 8:32:36 PM,52.04
6/23/2011 2:03:48 PM,51.91
6/24/2011 7:35:00 AM,19.76
6/25/2011 1:06:12 AM,19.16
6/25/2011 6:37:24 PM,20.92
6/26/2011 12:08:36 PM,20.54
6/27/2011 5:39:48 AM,10.92
6/27/2011 11:11:00 PM,11.11
6/28/2011 4:42:12 PM,14.09
6/29/2011 10:13:24 AM,14.91
6/30/2011 3:44:36 AM,25.23
6/30/2011 9:15:48 PM,52.81
7/1/2011 2:47:00 PM,52.85
7/2/2011 8:18:12 AM,53.01
7/3/2011 1:49:24 AM,52.72
7/3/2011 7:20:36 PM,52.80
7/4/2011 12:51:48 PM,52.77
7/5/2011 6:23:00 AM,52.76
7/5/2011 11:54:12 PM,52.77
7/6/2011 5:25:24 PM,52.80
7/7/2011 10:56:36 AM,52.69
7/8/2011 4:27:48 AM,52.55
7/8/2011 9:59:00 PM,52.59
7/9/2011 3:30:12 PM,52.60
7/10/2011 9:01:24 AM,52.60
7/11/2011 2:32:36 AM,52.69
7/11/2011 8:03:48 PM,52.65
7/12/2011 1:35:00 PM,52.58
7/13/2011 7:06:12 AM,52.46
7/14/2011 12:37:24 AM,52.46
7/14/2011 6:08:36 PM,52.14
7/15/2011 11:39:48 AM,52.21
7/16/2011 5:11:00 AM,52.12
7/16/2011 10:42:12 PM,52.29
7/17/2011 4:13:24 PM,52.26
7/18/2011 9:44:36 AM,52.24
7/19/2011 3:15:48 AM,52.10
7/19/2011 8:47:00 PM,52.07
7/20/2011 2:18:12 PM,52.00
7/21/2011 7:49:24 AM,52.17
7/22/2011 1:20:36 AM,52.15
7/22/2011 6:51:48 PM,52.26
7/23/2011 12:23:00 PM,52.22
7/24/2011 5:54:12 AM,52.32
7/24/2011 11:25:24 PM,52.26
7/25/2011 4:56:36 PM,52.70
7/26/2011 10:27:48 AM,53.42
7/27/2011 3:59:00 AM,51.99
7/27/2011 9:30:12 PM,50.37
7/28/2011 3:01:24 PM,49.94
7/29/2011 8:32:36 AM,49.60
7/30/2011 2:03:48 AM,50.56
7/30/2011 7:35:00 PM,50.22
